"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"030102a Grünerløkka";"66 years";326
"030102a Grünerløkka";"67 years";340
"030102a Grünerløkka";"68 years";285
"030102a Grünerløkka";"69 years";306
"030102a Grünerløkka";"70 years";280
"030102a Grünerløkka";"71 years";250
"030102a Grünerløkka";"72 years";203
"030102a Grünerløkka";"73 years";221
"030102a Grünerløkka";"74 years";227
"030102a Grünerløkka";"75 years";192
"030102a Grünerløkka";"76 years";183
"030102a Grünerløkka";"77 years";191
"030102a Grünerløkka";"78 years";158
"030102a Grünerløkka";"79 years";161
"030102a Grünerløkka";"80 years";125
"030102a Grünerløkka";"81 years";111
"030102a Grünerløkka";"82 years";75
"030102a Grünerløkka";"83 years";88
"030102a Grünerløkka";"84 years";78
"030102a Grünerløkka";"85 years";40
"030102a Grünerløkka";"86 years";61
"030102a Grünerløkka";"87 years";27
"030102a Grünerløkka";"88 years";27
"030102a Grünerløkka";"89 years";30
"030102a Grünerløkka";"90 years";20
"030102a Grünerløkka";"91 years";30
"030102a Grünerløkka";"92 years";21
"030102a Grünerløkka";"93 years";17
"030102a Grünerløkka";"94 years";12
"030102a Grünerløkka";"95 years";12
"030102a Grünerløkka";"96 years";7
"030102a Grünerløkka";"97 years";3
"030102a Grünerløkka";"98 years";6
"030102a Grünerløkka";"99 years";7
"030102a Grünerløkka";"100 years";5
"030102a Grünerløkka";"101 years";3
"030102a Grünerløkka";"102 years";0
"030102a Grünerløkka";"103 years";1
"030102a Grünerløkka";"104 years";5
"030102a Grünerløkka";"105 years or older";5
"030103a Sagene";"0 years";697
"030103a Sagene";"1 year";613
"030103a Sagene";"2 years";550
"030103a Sagene";"3 years";411
"030103a Sagene";"4 years";380
"030103a Sagene";"5 years";354
"030103a Sagene";"6 years";330
"030103a Sagene";"7 years";302
"030103a Sagene";"8 years";309
"030103a Sagene";"9 years";319
"030103a Sagene";"10 years";293
"030103a Sagene";"11 years";283
"030103a Sagene";"12 years";282
"030103a Sagene";"13 years";242
"030103a Sagene";"14 years";227
"030103a Sagene";"15 years";235
"030103a Sagene";"16 years";214
"030103a Sagene";"17 years";186
"030103a Sagene";"18 years";227
"030103a Sagene";"19 years";281
